home_avg_goals_scored_l5,home_avg_goals_conceded_l5,home_ppg_l5,home_win_rate_l5,home_form_momentum,home_scoring_consistency,home_availability_rate,home_key_players_out,away_avg_goals_scored_l5,away_avg_goals_conceded_l5,away_ppg_l5,away_win_rate_l5,away_form_momentum,away_scoring_consistency,away_availability_rate,away_key_players_out,home_prev_gw_result,home_prev_gw_goals_scored,home_prev_gw_goals_conceded,home_prev_gw_was_home,home_days_since_last_match,home_prev_gw_result_encoded,away_prev_gw_result,away_prev_gw_goals_scored,away_prev_gw_goals_conceded,away_prev_gw_was_home,away_days_since_last_match,away_prev_gw_result_encoded,home_league_position,home_points,home_goal_difference,home_position_category,home_position_category_encoded,away_league_position,away_points,away_goal_difference,away_position_category,away_position_category_encoded,h2h_matches,h2h_home_goals_avg,h2h_away_goals_avg,attack_differential,defense_differential,form_differential,availability_differential,rest_differential,position_differential,points_differential,goal_difference_differential,home_position_strength,away_position_strength,gameweek,home_goals,away_goals,season,home_avg_goals_scored_l10,home_avg_goals_conceded_l10,home_ppg_l10,home_win_rate_l10,home_clean_sheets_l5,home_btts_l5,home_high_scoring_rate,home_low_scoring_rate,home_squad_depth,home_venue_ppg,home_venue_goals_avg,away_avg_goals_scored_l10,away_avg_goals_conceded_l10,away_ppg_l10,away_win_rate_l10,away_clean_sheets_l5,away_btts_l5,away_high_scoring_rate,away_low_scoring_rate,away_squad_depth,away_venue_ppg,away_venue_goals_avg
1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,L,1.0,2.0,0,6,-1,L,0.0,1.0,1,6,-1,14,0,-1,mid_table,2,17,0,-1,bottom_half,1,0,1.5,1.5,0.0,0.0,0.0,0.0,0,3,0,0,0.35,0.2,2,2,1,2023-24,,,,,,,,,,,,,,,,,,,,,,
1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,D,1.0,1.0,0,5,0,D,1.0,1.0,1,7,0,12,1,0,mid_table,2,14,1,0,mid_table,2,0,1.5,1.5,0.0,0.0,0.0,0.0,-2,2,0,0,0.45,0.35,2,3,1,2023-24,,,,,,,,,,,,,,,,,,,,,,
1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,L,0.0,1.0,0,4,-1,W,4.0,1.0,1,7,1,15,0,-1,bottom_half,1,3,3,3,top_4,4,0,1.5,1.5,0.0,0.0,0.0,0.0,-3,-12,-3,-4,0.3,0.9,2,1,4,2023-24,,,,,,,,,,,,,,,,,,,,,,
1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,W,1.0,0.0,0,7,1,D,2.0,2.0,1,6,0,7,3,1,top_half,3,10,1,0,top_half,3,0,1.5,1.5,0.0,0.0,0.0,0.0,1,3,2,1,0.7,0.55,2,0,3,2023-24,,,,,,,,,,,,,,,,,,,,,,
1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,D,2.0,2.0,0,6,0,W,1.0,0.0,1,4,1,11,1,0,mid_table,2,7,3,1,top_half,3,0,1.5,1.5,0.0,0.0,0.0,0.0,2,-4,-2,-1,0.5,0.7,2,2,0,2023-24,,,,,,,,,,,,,,,,,,,,,,
1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,W,3.0,0.0,0,8,1,W,5.0,1.0,1,7,1,6,3,3,top_half,3,5,3,4,top_half,3,0,1.5,1.5,0.0,0.0,0.0,0.0,1,-1,0,-1,0.75,0.8,2,1,0,2023-24,,,,,,,,,,,,,,,,,,,,,,
1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,L,1.0,5.0,0,7,-1,L,0.0,1.0,1,7,-1,20,0,-4,relegation,0,15,0,-1,bottom_half,1,0,1.5,1.5,0.0,0.0,0.0,0.0,0,-5,0,-3,0.05,0.3,2,4,0,2023-24,,,,,,,,,,,,,,,,,,,,,,
1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,D,1.0,1.0,0,8,0,D,1.0,1.0,1,7,0,13,1,0,mid_table,2,14,1,0,mid_table,2,0,1.5,1.5,0.0,0.0,0.0,0.0,1,1,0,0,0.4,0.35,2,3,1,2023-24,,,,,,,,,,,,,,,,,,,,,,
1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,W,1.0,0.0,0,9,1,W,2.0,1.0,1,9,1,9,3,1,top_half,3,8,3,1,top_half,3,0,1.5,1.5,0.0,0.0,0.0,0.0,0,-1,0,0,0.6,0.65,2,0,1,2023-24,,,,,,,,,,,,,,,,,,,,,,
1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,L,1.0,3.0,0,5,-1,L,1.0,4.0,0,13,-1,14,1,-2,mid_table,2,17,0,-3,bottom_half,1,0,1.5,1.5,0.0,0.0,0.0,0.0,-8,3,1,1,0.35,0.2,3,3,0,2023-24,,,,,,,,,,,,,,,,,,,,,,
