gameweek,season_progress,home_recent_gw_ppg,home_recent_gw_goals,home_recent_gw_conceded,home_recent_gw_wins,home_recent_gw_draws,home_recent_gw_losses,home_recent_gw_win_rate,home_avg_goals_scored_l5,home_avg_goals_conceded_l5,home_ppg_l5,home_win_rate_l5,home_avg_goals_scored_l10,home_avg_goals_conceded_l10,home_ppg_l10,home_win_rate_l10,home_avg_goals_scored_l20,home_avg_goals_conceded_l20,home_ppg_l20,home_win_rate_l20,home_momentum,home_league_position,home_league_points,home_goal_difference,home_position_strength,home_prev_gw_result,home_prev_gw_goals,home_prev_gw_conceded,home_days_since_last_match,home_availability_rate,home_key_players_out,home_squad_depth,home_top_scorer_available,home_goalkeeper_available,home_defenders_available,home_midfielders_available,away_recent_gw_ppg,away_recent_gw_goals,away_recent_gw_conceded,away_recent_gw_wins,away_recent_gw_draws,away_recent_gw_losses,away_recent_gw_win_rate,away_avg_goals_scored_l5,away_avg_goals_conceded_l5,away_ppg_l5,away_win_rate_l5,away_avg_goals_scored_l10,away_avg_goals_conceded_l10,away_ppg_l10,away_win_rate_l10,away_avg_goals_scored_l20,away_avg_goals_conceded_l20,away_ppg_l20,away_win_rate_l20,away_momentum,away_league_position,away_league_points,away_goal_difference,away_position_strength,away_prev_gw_result,away_prev_gw_goals,away_prev_gw_conceded,away_days_since_last_match,away_availability_rate,away_key_players_out,away_squad_depth,away_top_scorer_available,away_goalkeeper_available,away_defenders_available,away_midfielders_available,form_differential_l5,attack_differential_l5,defense_differential_l5,availability_differential,rest_differential,position_differential,points_differential,gd_differential,momentum_differential,key_players_differential,h2h_matches,h2h_home_avg_goals,h2h_away_avg_goals,home_score,away_score,outcome,match_date
6,1.2894736842105263,1.4,1.2,1.4,2,1,2,0.4,1.2,1.4,1.4,0.4,1.2,1.4,1.4,0.4,1.2,1.4,1.4,0.4,0.0,19,7,-1,0.0,-1,1,3,7,100.0,0.0,9.0,1.0,1.0,0.8,0.8,1.4,1.0,2.0,2,1,2,0.4,1.0,2.0,1.4,0.4,1.0,2.0,1.4,0.4,1.0,2.0,1.4,0.4,0.0,14,7,-5,0.5,1,1,0,7,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.0,0.19999999999999996,0.6000000000000001,99.15,0,-5,0,4,0.0,0.85,0,0.0,0.0,0,0,1,2023-09-23 14:00:00+00:00
6,1.2894736842105263,3.0,2.8,0.6,5,0,0,1.0,2.8,0.6,3.0,1.0,2.8,0.6,3.0,1.0,2.8,0.6,3.0,1.0,0.0,16,15,11,0.0,1,3,1,7,0.85,0.85,0.85,0.85,0.85,0.85,0.85,1.4,1.4,1.4,2,1,2,0.4,1.4,1.4,1.4,0.4,1.4,1.4,1.4,0.4,1.4,1.4,1.4,0.4,0.0,11,7,0,0.5,0,1,1,4,0.85,0.85,0.85,0.85,0.85,0.85,0.85,1.6,1.4,0.7999999999999999,0.0,3,-5,8,11,0.0,0.0,0,0.0,0.0,2,0,2,2023-09-23 14:00:00+00:00
6,1.368421052631579,1.2,1.6,1.2,1,3,1,0.2,1.6,1.2,1.2,0.2,1.6,1.2,1.2,0.2,1.6,1.2,1.2,0.2,0.0,8,6,2,0.5,-1,0,1,7,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.2,0.4,1.8,0,1,4,0.0,0.4,1.8,0.2,0.0,0.4,1.8,0.2,0.0,0.4,1.8,0.2,0.0,0.0,5,1,-7,1.0,-1,0,1,6,0.85,0.85,0.85,0.85,0.85,0.85,0.85,1.0,1.2000000000000002,0.6000000000000001,0.0,1,-3,5,9,0.0,0.0,0,0.0,0.0,1,3,0,2023-09-23 16:30:00+00:00
6,1.4210526315789473,1.0,1.0,1.0,1,2,2,0.2,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.2,0.0,9,5,0,0.5,0,0,0,7,100.0,0.0,6.0,1.0,1.0,0.8,0.8,1.8,2.2,2.0,3,0,2,0.6,2.2,2.0,1.8,0.6,2.2,2.0,1.8,0.6,2.2,2.0,1.8,0.6,0.0,17,9,1,0.0,1,3,1,7,100.0,0.0,4.0,1.0,1.0,0.8,0.8,-0.8,-1.2000000000000002,1.0,0.0,0,8,-4,-1,0.0,0.0,0,0.0,0.0,0,1,0,2023-09-24 13:00:00+00:00
6,1.4210526315789473,2.6,1.8,0.8,4,1,0,0.8,1.8,0.8,2.6,0.8,1.8,0.8,2.6,0.8,1.8,0.8,2.6,0.8,0.0,2,13,5,1.0,1,1,0,6,59.279903926766806,3.0,6.0,1.0,1.0,0.8,0.8,2.6,2.6,1.0,4,1,0,0.8,2.6,1.0,2.6,0.8,2.6,1.0,2.6,0.8,2.6,1.0,2.6,0.8,0.0,15,13,8,0.0,1,2,1,7,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.0,-0.8,0.19999999999999996,58.429903926766805,-1,13,0,-3,0.0,-2.15,0,0.0,0.0,2,2,1,2023-09-24 13:00:00+00:00
6,1.4210526315789473,2.4,3.0,1.4,4,0,1,0.8,3.0,1.4,2.4,0.8,3.0,1.4,2.4,0.8,3.0,1.4,2.4,0.8,0.0,4,12,8,1.0,1,3,1,7,79.90063559576589,2.0,7.0,1.0,1.0,0.8,0.8,0.6,0.8,1.6,0,3,2,0.0,0.8,1.6,0.6,0.0,0.8,1.6,0.6,0.0,0.8,1.6,0.6,0.0,0.0,3,3,-4,1.0,0,0,0,7,86.58238773648536,2.0,5.0,1.0,1.0,0.8,0.8,1.7999999999999998,2.2,0.20000000000000018,-6.6817521407194675,0,-1,9,12,0.0,0.0,0,0.0,0.0,3,1,2,2023-09-24 13:00:00+00:00
6,1.4210526315789473,2.6,2.4,0.8,4,1,0,0.8,2.4,0.8,2.6,0.8,2.4,0.8,2.6,0.8,2.4,0.8,2.6,0.8,0.0,12,13,8,0.5,1,3,1,8,0.85,0.85,0.85,0.85,0.85,0.85,0.85,2.0,2.0,1.4,3,1,1,0.6,2.0,1.4,2.0,0.6,2.0,1.4,2.0,0.6,2.0,1.4,2.0,0.6,0.0,18,10,3,0.0,-1,1,3,7,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.6000000000000001,0.3999999999999999,0.5999999999999999,0.0,1,6,3,5,0.0,0.0,0,0.0,0.0,3,1,2,2023-09-24 13:00:00+00:00
6,1.5263157894736843,0.2,1.0,1.8,0,1,4,0.0,1.0,1.8,0.2,0.0,1.0,1.8,0.2,0.0,1.0,1.8,0.2,0.0,0.0,6,1,-4,1.0,-1,1,2,8,0.85,0.85,0.85,0.85,0.85,0.85,0.85,1.2,1.6,1.4,2,0,3,0.4,1.6,1.4,1.2,0.4,1.6,1.4,1.2,0.4,1.6,1.4,1.2,0.4,0.0,7,6,1,0.5,1,1,0,7,0.85,0.85,0.85,0.85,0.85,0.85,0.85,-1.0,-0.6000000000000001,-0.40000000000000013,0.0,1,1,-5,-5,0.0,0.0,0,0.0,0.0,0,8,0,2023-09-24 15:30:00+00:00
7,1.5526315789473684,2.0,2.0,1.6666666666666667,4,0,2,0.6666666666666666,2.2,1.0,2.4,0.8,2.0,1.6666666666666667,2.0,0.6666666666666666,2.0,1.6666666666666667,2.0,0.6666666666666666,0.0,17,12,2,0.0,1,1,0,5,100.0,0.0,4.0,1.0,1.0,0.8,0.8,2.5,3.0,1.3333333333333333,5,0,1,0.8333333333333334,2.8,1.4,2.4,0.8,3.0,1.3333333333333333,2.5,0.8333333333333334,3.0,1.3333333333333333,2.5,0.8333333333333334,0.0,4,15,10,1.0,1,3,1,5,79.90063559576589,2.0,7.0,1.0,1.0,0.8,0.8,0.0,-0.5999999999999996,0.3999999999999999,20.09936440423411,0,-13,-3,-8,0.0,2.0,0,0.0,0.0,6,1,2,2023-09-30 11:30:00+00:00
7,1.5789473684210527,0.5,0.8333333333333334,1.8333333333333333,0,3,3,0.0,0.8,2.0,0.4,0.0,0.8333333333333334,1.8333333333333333,0.5,0.0,0.8333333333333334,1.8333333333333333,0.5,0.0,0.0,3,3,-6,1.0,-1,1,3,6,86.58238773648536,2.0,5.0,1.0,1.0,0.8,0.8,2.3333333333333335,1.8333333333333333,1.0,4,2,0,0.6666666666666666,1.8,1.0,2.2,0.6,1.8333333333333333,1.0,2.3333333333333335,0.6666666666666666,1.8333333333333333,1.0,2.3333333333333335,0.6666666666666666,0.0,2,14,5,1.0,0,2,2,6,59.279903926766806,3.0,6.0,1.0,1.0,0.8,0.8,-1.8000000000000003,-1.0,-1.0,27.302483809718552,0,-1,-11,-11,0.0,1.0,0,0.0,0.0,0,4,0,2023-09-30 14:00:00+00:00
