fpl_id,player_name,full_name,team_code,position,price,selected_by_percent,form,points_per_game,total_points,goals_scored,assists,clean_sheets,minutes,yellow_cards,red_cards,bonus,influence,creativity,threat,ict_index,status,news,chance_of_playing_next_round,fpl_team_id,short_name,team_name
1,Raya,David Raya Martín,3,1,6.0,36.4,3.3,4.4,75,0,0,9,1530,1,0,4,266.8,10.3,0.0,27.8,a,,,3.0,BUR,Burnley FC
2,Arrizabalaga,Kepa Arrizabalaga Revuelta,3,1,4.1,0.4,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a,,,3.0,BUR,Burnley FC
3,Hein,Karl Hein,3,1,4.0,0.2,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,u,Has joined Werder Bremen on loan for the rest of the season.,0.0,3.0,BUR,Burnley FC
4,Setford,Tommy Setford,3,1,3.9,0.2,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a,,,3.0,BUR,Burnley FC
5,Gabriel,Gabriel dos Santos Magalhães,3,2,6.2,12.3,0.0,7.4,81,1,2,7,990,1,0,13,318.6,62.6,88.0,46.9,d,Thigh injury - 25% chance of playing,25.0,3.0,BUR,Burnley FC
6,Saliba,William Saliba,3,2,5.9,11.4,1.3,3.8,49,0,0,6,994,0,0,1,218.6,42.1,20.0,28.1,a,,100.0,3.0,BUR,Burnley FC
7,Calafiori,Riccardo Calafiori,3,2,5.7,10.4,2.3,4.8,77,1,2,9,1256,5,0,4,222.0,104.8,219.0,54.5,a,,100.0,3.0,BUR,Burnley FC
8,J.Timber,Jurriën Timber,3,2,6.5,33.8,2.3,5.1,86,2,3,7,1377,2,0,7,311.2,228.9,277.0,81.9,a,,100.0,3.0,BUR,Burnley FC
9,Kiwior,Jakub Kiwior,3,2,5.4,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,u,has joined Porto on loan for the rest of the season.,0.0,3.0,BUR,Burnley FC
10,Lewis-Skelly,Myles Lewis-Skelly,3,2,5.1,1.7,0.3,0.8,9,0,0,0,195,2,0,0,19.4,33.1,14.0,6.6,a,,,3.0,BUR,Burnley FC
11,White,Benjamin White,3,2,5.2,0.9,2.7,5.5,22,0,1,2,280,0,0,3,89.2,66.8,34.0,19.0,i,Hamstring injury - Expected back 03 Jan,0.0,3.0,BUR,Burnley FC
13,Clarke,Brayden Clarke,3,2,3.8,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a,,,3.0,BUR,Burnley FC
