fpl_id,player_name,full_name,team_code,status,news,chance_of_playing_next_round
3,Hein,Karl Hein,3,u,Has joined Werder Bremen on loan for the rest of the season.,0.0
5,Gabriel,Gabriel dos Santos Magalhães,3,d,Thigh injury - 25% chance of playing,25.0
6,Saliba,William Saliba,3,a,,100.0
7,Calafiori,Riccardo Calafiori,3,a,,100.0
8,J.Timber,Jurriën Timber,3,a,,100.0
9,Kiwior,Jakub Kiwior,3,u,has joined Porto on loan for the rest of the season.,0.0
11,White,Benjamin White,3,i,Hamstring injury - Expected back 03 Jan,0.0
14,Kacurri,Maldini Kacurri,3,u,has joined Morecambe on loan for the rest of the season.,0.0
16,Saka,Bukayo Saka,3,a,,100.0
17,Ødegaard,Martin Ødegaard,3,a,,100.0
18,Madueke,Noni Madueke,3,a,,100.0
19,Martinelli,Gabriel Martinelli Silva,3,d,Knock - 75% chance of playing,75.0
20,Trossard,Leandro Trossard,3,a,,100.0
21,Rice,Declan Rice,3,a,,100.0
23,Fábio Vieira,Fábio Ferreira Vieira,3,u,has joined Hamburger on loan for the rest of the season.,0.0
24,Nørgaard,Christian Nørgaard,3,a,,100.0
26,Zubimendi,Martín Zubimendi Ibáñez,3,a,,100.0
28,Kabia,Ismeal Kabia,3,u,has joined Shrewsbury Town on loan for the rest of the season.,0.0
29,Sambi,Albert Sambi Lokonga,3,u,has joined Hamburger permanently.,0.0
30,Havertz,Kai Havertz,3,d,Knee injury - 25% chance of playing,25.0
31,G.Jesus,Gabriel Fernando de Jesus,3,a,,100.0
662,Mosquera,Cristhian Mosquera,3,i,Ankle injury - Unknown return date,0.0
666,Gyökeres,Viktor Gyökeres,3,a,,100.0
700,Dowman,Max Dowman,3,i,Ankle injury - Unknown return date,0.0
725,Hincapie,Piero Hincapié,3,d,Knock - 75% chance of playing,75.0
32,Martinez,Emiliano Martínez Romero,7,a,,100.0
34,Gauci,Joe Gauci,7,u,Has joined Port Vale on loan for the rest of the season.,0.0
35,Marschall,Filip Marschall,7,u,Has joined Stevenage permanently.,0.0
36,Cash,Matty Cash,7,a,,100.0
37,Digne,Lucas Digne,7,a,,100.0
38,Konsa,Ezri Konsa Ngoyo,7,a,,100.0
40,Mings,Tyrone Mings,7,i,Hamstring injury - Expected back 30 Dec,0.0
41,Pau,Pau Torres,7,i,Calf injury - Expected back 30 Dec,0.0
42,A.García,Andrés García,7,a,,100.0
43,Alex Moreno,Álex Moreno Lopera,7,u,Has joined Girona permanently.,0.0
44,Bogarde,Lamare Bogarde,7,a,,100.0
46,Yasin,Yasin Özcan,7,u,has joined Anderlecht on loan for the rest of the season.,0.0
47,Rogers,Morgan Rogers,7,a,,100.0
48,Tielemans,Youri Tielemans,7,a,,100.0
49,Bailey,Leon Bailey,7,u,Has joined AS Roma on loan for the rest of the season.,0.0
50,Buendía,Emiliano Buendía Stati,7,a,,100.0
51,Iling Jr,Samuel Iling-Junior,7,u,has joined West Bromwich Albion on loan for the rest of the season,0.0
55,Barkley,Ross Barkley,7,i,Knee injury - Expected back 07 Feb,0.0
56,Barrenechea,Enzo Barrenechea,7,u,Season-long loan to Benfica,0.0
57,Dobbin,Lewis Dobbin,7,u,Has joined Preston North End on loan for the rest of the season.,0.0
58,Kamara,Boubacar Kamara,7,a,,100.0
59,Onana,Amadou Onana,7,a,,100.0
61,Dendoncker,Leander Dendoncker,7,u,Has joined Real Oviedo permanently.,0.0
64,Watkins,Ollie Watkins,7,a,,100.0
65,Redmond,Zépiqueno Redmond,7,u,has joined Huddersfield Town on loan for the rest of the season.,0.0
389,Elliott,Harvey Elliott,7,d,Illness - 75% chance of playing,75.0
456,Sancho,Jadon Sancho,7,a,,100.0
